,conversation_id,interviewer,relevance,specificity
0,6.0,Human,4.94,3.33
1,7.0,Human,5.0,3.88
2,9.0,Human,5.0,3.21
3,13.0,Human,4.72,2.56
4,19.0,AI,4.81,3.0
5,21.0,Human,5.0,3.89
6,22.0,AI,5.0,3.25
7,23.0,Human,5.0,3.72
8,25.0,AI,5.0,2.75
9,27.0,AI,4.0,3.0
10,30.0,Human,5.0,3.36
11,31.0,Human,5.0,3.04
12,35.0,Human,4.8,4.5
13,36.0,AI,5.0,3.8
14,37.0,Human,5.0,4.5
15,38.0,AI,5.0,4.0
16,39.0,Human,4.86,4.29
17,40.0,Human,5.0,3.64
18,46.0,AI,5.0,3.56
19,47.0,AI,4.85,4.12
20,48.0,AI,5.0,3.54
21,49.0,Human,5.0,4.71
22,50.0,Human,5.0,3.12
23,51.0,AI,4.88,3.29
24,53.0,AI,4.93,3.11
25,54.0,AI,4.79,2.82
26,55.0,Human,5.0,4.5
27,56.0,AI,4.9,3.9
28,58.0,Human,4.94,3.94
29,59.0,Human,4.8,3.2
30,60.0,AI,5.0,3.27
31,62.0,Human,4.97,3.67
32,64.0,Human,4.95,3.95
33,66.0,AI,5.0,3.88
34,67.0,AI,4.85,3.56
35,68.0,AI,5.0,4.5
36,71.0,Human,5.0,4.64
37,73.0,AI,4.94,4.38
38,74.0,Human,4.88,3.31
39,75.0,AI,4.89,3.32
40,78.0,AI,5.0,3.86
